Trajectories
100
,,movedBox:segment11,,,movedBox:segment12,,,movedBox:segment22,,,movedBox:segment32,,,movedBox:segment52,,,movedBox:segment62,,,movedBox:segment72,,,movedBox:segment82,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
24,0,-62.8629,1577.75,1377.39,-51.8861,1406.57,1375.96,68.0443,1410.92,1377.08,55.6212,1591.2,1378.57,-83.1988,1579.25,1215.06,-71.4685,1407.01,1217.09,89.8079,1416.26,1216.04,76.812,1589.2,1216.84
25,0,-62.5873,1577.51,1377.51,-51.6858,1406.35,1376.03,68.1743,1410.67,1377.07,55.8531,1590.94,1378.6,-83.0757,1579.12,1215.18,-71.6036,1407,1217.2,89.8734,1416.08,1216.01,76.9296,1588.97,1216.82
26,0,-62.4457,1577.3,1377.54,-51.5815,1406.15,1376.03,68.3007,1410.34,1377.02,56.0377,1590.67,1378.61,-82.9167,1578.95,1215.26,-71.5176,1406.82,1217.2,89.9829,1415.83,1216.02,77.0981,1588.75,1216.86
27,0,-62.2479,1577.11,1377.57,-51.4948,1405.98,1376.04,68.3773,1410.03,1377,56.2934,1590.36,1378.55,-82.7527,1578.68,1215.12,-71.4447,1406.62,1217.19,90.08,1415.48,1216,77.2369,1588.38,1216.76
28,0,-62.0268,1576.92,1377.55,-51.4424,1405.8,1376.06,68.4449,1409.71,1376.98,56.5512,1590.04,1378.51,-82.5946,1578.65,1215.34,-71.448,1406.43,1217.25,90.2004,1415.19,1216.08,77.4444,1588.01,1216.7
29,0,-61.7572,1576.76,1377.5,-51.439,1405.64,1376.06,68.4528,1409.35,1376.91,56.8102,1589.74,1378.45,-82.3833,1578.47,1215.3,-71.4286,1406.24,1217.27,90.2108,1414.74,1216.03,77.6773,1587.6,1216.64
30,0,-61.4305,1576.63,1377.52,-51.4146,1405.47,1376.06,68.46,1408.97,1376.81,57.108,1589.41,1378.42,-82.1217,1578.29,1215.25,-71.4381,1406.09,1217.23,90.067,1414.34,1215.95,77.9066,1587.23,1216.61
31,0,-61.1509,1576.47,1377.49,-51.4149,1405.27,1376,68.4198,1408.6,1376.7,57.3851,1589.01,1378.36,-81.88,1578.12,1215.22,-71.4985,1405.96,1217.21,89.9075,1413.95,1215.84,78.1001,1586.82,1216.44
32,0,-60.9427,1576.19,1377.34,-51.3937,1405.06,1375.94,68.4531,1408.26,1376.63,57.5955,1588.65,1378.26,-81.6573,1577.95,1215.14,-71.5127,1405.82,1217.15,89.9349,1413.62,1215.73,78.3208,1586.48,1216.33
33,0,-60.7895,1575.99,1377.35,-51.3534,1404.79,1375.83,68.4701,1407.92,1376.47,57.7672,1588.37,1378.23,-81.5116,1577.84,1215.17,-71.4814,1405.65,1217.03,89.8548,1413.31,1215.59,78.5258,1586.14,1216.23
