Trajectories
100
,,box:segment11,,,box:segment12,,,box:segment13,,,box:segment14,,,box:segment23,,,box:segment24,,,box:segment33,,,box:segment43,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
25,0,111.19,-68.5855,199.754,-70.0259,-69.5046,198.918,-66.2778,50.3698,199.722,105.32,50.4902,200.8,-65.0645,71.0303,39.2568,108.524,71.5539,36.7557,-67.7015,-87.5275,36.1988,106.425,-85.5886,35.705
26,0,111.203,-68.5814,199.773,-70.0041,-69.5145,198.913,-66.2969,50.3778,199.712,105.334,50.4953,200.787,-65.0574,71.0267,39.2554,108.532,71.5279,36.7601,-67.6878,-87.5723,36.2335,106.391,-85.6934,35.7928
27,0,111.201,-68.5868,199.765,-70.0098,-69.5001,198.922,-66.2934,50.3879,199.718,105.317,50.5133,200.794,-65.0736,71.0328,39.2905,108.532,71.4705,36.6921,-67.6841,-87.5417,36.1842,106.414,-85.5939,35.7181
28,0,111.193,-68.5807,199.774,-70.048,-69.5117,198.902,-66.2753,50.3689,199.721,105.315,50.5165,200.802,-65.0907,71.0477,39.3023,108.52,71.5687,36.7615,-67.6937,-87.5486,36.2016,106.409,-85.6632,35.7604
29,0,111.194,-68.5907,199.783,-70.0262,-69.5051,198.923,-66.2774,50.3771,199.708,105.309,50.5029,200.793,-65.093,71.0552,39.2679,108.522,71.562,36.7781,-67.6993,-87.5107,36.1654,106.426,-85.6095,35.7202
30,0,111.191,-68.5618,199.753,-70.0169,-69.5081,198.909,-66.2952,50.3794,199.728,105.325,50.5054,200.788,-65.0734,71.0706,39.3207,108.543,71.56,36.7686,-67.6959,-87.5452,36.1948,106.393,-85.6769,35.7668
31,0,111.194,-68.577,199.75,-70.0219,-69.4984,198.901,-66.2944,50.3767,199.717,105.328,50.4828,200.788,-65.0773,71.0411,39.2901,108.518,71.4939,36.7228,-67.681,-87.5108,36.1885,106.412,-85.613,35.6966
32,0,111.199,-68.5827,199.764,-70.0158,-69.5004,198.922,-66.2983,50.3803,199.713,105.322,50.5049,200.783,-65.0902,71.0487,39.2878,108.542,71.5183,36.7264,-67.717,-87.5626,36.2254,106.389,-85.6052,35.7047
33,0,111.197,-68.5899,199.762,-70.0164,-69.5021,198.904,-66.2842,50.384,199.723,105.324,50.52,200.805,-65.0705,70.9878,39.2218,108.536,71.5158,36.7099,-67.6729,-87.5663,36.2346,106.427,-85.641,35.7505
34,0,111.194,-68.6128,199.778,-70.0042,-69.4946,198.923,-66.2992,50.3634,199.737,105.314,50.5205,200.812,-65.0887,71.0497,39.2835,108.548,71.5197,36.7598,-67.6917,-87.5433,36.1981,106.393,-85.6755,35.7586
