Trajectories
100
,,benjamin:piedDroit1,,,benjamin:piedDroit2,,,benjamin:piedGauche1,,,benjamin:piedGauche2,,,benjamin:tibiaGauche2,,,benjamin:tibiaDroite2,,,benjamin:cuisseDroite2,,,benjamin:cuisseGauche2,,,benjamin:ventreGauche1,,,benjamin:torse2,,,benjamin:epauleDroite2,,,benjamin:epauleGauche2,,,benjamin:brasGauche2,,,benjamin:brasDroit2,,,benjamin:avantBrasDroit2,,,benjamin:avantBrasGauche2,,,benjamin:tete1,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
11,0,-651.56,955.488,85.9455,-771.978,1016.47,136.569,-712.595,1199.63,136.524,-589.673,1202.51,84.6607,-685.113,1245.97,507.912,-734.541,995.134,495.022,-677.531,997.386,945.977,-661.347,1253.3,940.598,-642.947,1121.02,1154.69,-674.169,1124.84,1350.46,-768.395,911.329,1461.15,-764.91,1339.88,1454.61,-796.416,1390.03,1118.7,-828.104,824.741,1130.92,-751.661,902.241,907.278,-675.484,1362.33,908.33,-731.418,1126.81,1781.17
12,0,-651.422,955.746,86.2284,-771.964,1016.64,136.573,-712.508,1199.67,136.374,-589.673,1202.46,84.6234,-683.889,1245.92,508.217,-733.774,995.357,495.026,-677.148,997.731,945.983,-661.679,1253.72,941.065,-643.023,1121.72,1154.62,-674.247,1125.4,1350.41,-766.658,911.294,1461.27,-766.302,1340.11,1454.79,-799.199,1391.12,1119.15,-825.815,824.322,1130.93,-750.682,902.654,907.33,-678.992,1366.28,907.793,-731.817,1127.24,1781.25
13,0,-651.385,955.744,86.1509,-771.955,1016.79,136.499,-712.419,1199.71,136.191,-589.676,1202.45,84.6399,-682.817,1245.96,508.523,-733.161,995.596,495.057,-676.509,998.293,945.962,-662.118,1254.11,941.542,-642.987,1122.38,1154.6,-674.308,1125.96,1350.3,-765.233,911.887,1461.32,-767.574,1340.44,1455.08,-801.942,1392.17,1119.55,-823.202,820.403,1132.9,-749.701,903.011,907.377,-682.218,1370.55,908.029,-732.146,1127.8,1781.34
14,0,-651.312,955.771,86.1118,-771.954,1016.94,136.476,-712.301,1199.78,136.043,-589.675,1202.41,84.6383,-681.644,1245.89,508.854,-732.788,995.653,495.103,-675.965,998.848,945.89,-661.833,1255.19,942.388,-643,1123.09,1154.53,-674.19,1126.66,1350.43,-764.165,912.009,1461.07,-769.037,1340.4,1455.16,-804.767,1393.2,1119.89,-823.376,825.882,1130.75,-748.412,903.469,907.245,-685.395,1374.31,907.618,-732.503,1128.32,1781.41
15,0,-651.287,955.786,86.0795,-771.942,1017.04,136.477,-712.134,1199.86,135.78,-589.711,1202.37,84.6352,-680.548,1245.79,509.037,-732.247,996.001,495.135,-675.249,999.565,945.861,-662.426,1255.45,942.549,-643.143,1123.91,1154.49,-674.122,1127.51,1350.48,-762.691,911.868,1460.94,-770.422,1340.57,1455.31,-807.581,1394.43,1120.5,-822.063,827.225,1130.01,-747.373,903.829,906.964,-688.615,1378.46,907.798,-732.862,1128.89,1781.5
16,0,-651.205,955.828,86.0877,-771.899,1017.17,136.443,-711.902,1199.89,135.625,-589.694,1202.36,84.6425,-679.569,1245.69,509.148,-731.694,996.304,495.164,-674.648,1000.16,945.747,-663.02,1255.85,942.736,-643.12,1124.77,1154.47,-674.2,1128.34,1350.47,-761.242,911.808,1461.18,-771.979,1340.59,1455.45,-810.45,1395.75,1120.99,-819.007,822.64,1131.54,-746.206,904.369,906.809,-691.884,1382.25,907.748,-733.175,1129.29,1781.6
17,0,-651.181,955.879,86.0621,-771.839,1017.25,136.448,-711.752,1199.97,135.557,-589.707,1202.37,84.6289,-678.478,1245.68,509.304,-731.14,996.698,495.169,-673.999,1000.69,945.61,-663.749,1256.2,942.867,-642.907,1125.74,1154.55,-674.206,1129.12,1350.48,-759.789,911.955,1461.19,-773.584,1340.43,1455.46,-813.159,1397.05,1121.63,-817.412,822.606,1131.45,-745.085,904.986,906.646,-695.003,1386.23,907.984,-733.36,1129.69,1781.65
18,0,-651.148,955.897,86.0151,-771.819,1017.29,136.43,-711.488,1200.18,135.777,-589.696,1202.33,84.6048,-677.275,1245.68,509.448,-730.471,997.285,495.011,-673.363,1001.14,945.465,-664.357,1256.63,943.098,-642.855,1126.8,1154.64,-674.275,1129.85,1350.43,-758.485,912.113,1461.04,-775.07,1340.34,1455.62,-815.925,1398.38,1122.08,-815.144,824.33,1130.59,-743.845,905.517,906.585,-698.162,1390.13,908.274,-733.54,1130.09,1781.67
19,0,-651.081,955.931,86.0284,-771.74,1017.37,136.435,-711.289,1200.21,135.684,-589.649,1202.32,84.5865,-676.262,1245.79,509.734,-730.115,997.732,494.913,-672.637,1001.75,945.249,-664.994,1257.06,943.342,-643.303,1127.68,1154.58,-674.34,1130.52,1350.44,-757.382,912.181,1460.89,-776.623,1340.34,1455.85,-818.581,1399.88,1122.82,-813.441,823.254,1130.82,-742.446,905.94,906.623,-701.094,1394.22,908.822,-733.733,1130.6,1781.74
20,0,-651.028,955.948,85.9865,-771.735,1017.39,136.428,-711.151,1200.28,135.587,-589.67,1202.28,84.5159,-675.112,1245.89,510.058,-729.874,998.215,494.775,-671.909,1002.42,945.064,-665.556,1257.58,943.618,-643.275,1128.53,1154.6,-674.365,1131.21,1350.47,-755.775,912.128,1460.95,-778.117,1340.35,1456.08,-821.258,1401.37,1123.53,-811.298,821.698,1130.76,-741.198,906.109,906.441,-704.135,1398.3,909.709,-733.878,1131.1,1781.82
