Trajectories
100
,,benjamin:piedDroit1,,,benjamin:piedDroit2,,,benjamin:piedGauche1,,,benjamin:piedGauche2,,,benjamin:tibiaGauche2,,,benjamin:tibiaDroite2,,,benjamin:cuisseDroite2,,,benjamin:cuisseGauche2,,,benjamin:ventreGauche1,,,benjamin:torse2,,,benjamin:epauleDroite2,,,benjamin:epauleGauche2,,,benjamin:brasGauche2,,,benjamin:brasDroit2,,,benjamin:avantBrasDroit2,,,benjamin:avantBrasGauche2,,,benjamin:tete1,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
127,0,-651.06,956.016,85.8913,-769.844,1019.36,136.616,-710.758,1204.89,134.918,-589.593,1202.32,84.4557,-687.764,1246.46,509.341,-739.733,992.007,497.311,-697.137,993.134,948.061,-667.078,1246.55,941.772,-656.62,1114.37,1149.44,-682.582,1122.49,1346.27,-788.762,916.89,1463.41,-752.093,1344.62,1453.08,-810.286,1417.93,1124.92,-857.307,827.174,1136.33,-773.275,896.702,910.735,-711.719,1412.45,902.79,-656.32,1130.37,1764.31
128,0,-651.08,956.025,85.9312,-769.904,1019.31,136.633,-710.761,1204.78,134.961,-589.598,1202.32,84.4867,-687.745,1246.03,509.304,-739.895,991.509,497.513,-699.161,993.095,948.051,-666.455,1245.67,941.594,-656.726,1113.41,1149.25,-682.667,1121.65,1346.04,-790.873,917.382,1463.42,-749.512,1344.84,1452.93,-805.935,1418.27,1124.55,-860.96,829.206,1136.11,-775.83,895.916,910.572,-706.766,1410.85,902.451,-655.084,1130.22,1763.83
129,0,-651.101,955.997,85.9669,-770.223,1019.45,136.73,-710.869,1204.65,134.988,-589.606,1202.31,84.5156,-687.772,1245.64,509.281,-740.184,990.975,497.697,-700.305,992.612,948.237,-665.843,1244.81,941.493,-656.824,1112.43,1149.11,-682.693,1120.98,1345.91,-792.665,918.131,1463.53,-747,1344.88,1452.64,-801.451,1418.5,1124.09,-864.419,829.626,1136.2,-778.277,895,910.88,-701.56,1409.15,902.376,-653.889,1130.18,1763.4
130,0,-651.126,956,86.012,-770.234,1019.32,136.67,-710.771,1204.52,135.004,-589.612,1202.29,84.4823,-687.737,1245.22,509.25,-740.482,990.456,497.935,-701.481,991.967,948.423,-665.291,1243.88,941.343,-656.961,1111.54,1149,-682.75,1120.36,1345.77,-794.73,918.703,1463.5,-744.602,1344.92,1452.41,-797.044,1418.77,1123.57,-867.87,831.899,1136.35,-780.707,894.539,911.035,-696.245,1407.59,902.642,-652.51,1130.01,1762.93
131,0,-651.162,955.925,85.9447,-770.028,1019.12,136.57,-710.781,1204.42,135.073,-589.621,1202.28,84.5266,-687.719,1244.84,509.254,-740.808,989.916,498.169,-702.873,991.329,948.705,-664.761,1242.96,941.164,-657.181,1110.71,1148.83,-682.802,1119.81,1345.65,-796.387,919.8,1463.52,-742.157,1345.11,1452.28,-792.637,1418.89,1123.18,-871.594,832.098,1136.88,-783.152,893.838,911.268,-690.996,1405.53,902.619,-651.305,1129.78,1762.46
132,0,-651.171,955.883,85.9798,-770.095,1019.08,136.597,-710.828,1204.32,135.097,-589.669,1202.26,84.5479,-687.727,1244.36,509.192,-741.154,989.442,498.296,-704.026,990.879,948.976,-664.205,1242.25,941.125,-657.525,1109.83,1148.65,-682.814,1119.35,1345.56,-798.435,920.118,1463.91,-739.828,1345.11,1452.05,-788.273,1418.87,1122.74,-874.825,833.889,1137.07,-785.381,893.875,911.394,-685.365,1403.7,902.906,-650.193,1129.73,1762.02
133,0,-651.206,955.881,86.0047,-770.177,1019,136.578,-710.892,1204.18,135.131,-589.673,1202.25,84.5384,-687.676,1243.79,509.11,-741.487,989.186,498.284,-705.19,990.564,949.202,-663.658,1241.54,941.016,-657.949,1108.93,1148.44,-682.775,1118.86,1345.46,-799.749,920.772,1464.29,-737.551,1345.34,1451.99,-783.929,1418.7,1122.23,-877.661,835.214,1137.54,-788.121,893.87,911.609,-679.852,1401.71,903.147,-649.055,1129.61,1761.55
134,0,-651.228,955.83,85.9929,-770.264,1018.97,136.557,-711.109,1204.07,135.16,-589.67,1202.26,84.5779,-687.575,1243.36,509.131,-741.906,988.897,498.389,-706.329,990.092,949.337,-663.217,1240.72,940.858,-658.503,1107.94,1148.13,-682.815,1118.36,1345.33,-801.772,921.799,1464.58,-735.322,1345.4,1451.81,-779.683,1418.65,1121.78,-880.49,835.617,1137.81,-789.938,893.834,912.068,-674.184,1399.81,903.813,-647.795,1129.47,1761.08
135,0,-651.266,955.813,86.0125,-770.372,1018.96,136.604,-711.106,1203.94,135.196,-589.694,1202.22,84.5772,-687.558,1242.81,509.025,-742.345,988.56,498.471,-707.715,989.529,949.485,-662.799,1239.95,940.746,-658.717,1107.27,1148.08,-682.764,1117.87,1345.21,-803.203,922.856,1464.32,-733.171,1345.45,1451.63,-775.527,1418.43,1121.36,-883.382,837.475,1137.86,-792.728,894.192,912.325,-668.639,1397.41,903.906,-646.754,1129.35,1760.66
136,0,-651.295,955.77,86.0048,-770.377,1018.83,136.634,-711.118,1203.83,135.238,-589.743,1202.24,84.5719,-687.499,1242.4,508.99,-742.71,988.272,498.628,-708.787,989.223,949.707,-662.442,1239.32,940.742,-659.041,1106.6,1147.89,-682.771,1117.33,1345.02,-805.062,923.499,1464.54,-731.079,1345.63,1451.56,-771.385,1418.13,1120.89,-886.188,840.091,1138,-794.739,894.302,912.517,-662.952,1395.04,904.14,-645.707,1129.44,1760.25
137,0,-651.318,955.733,86.0329,-770.457,1018.78,136.642,-711.042,1203.68,135.199,-589.719,1202.23,84.5706,-687.493,1241.95,508.823,-743.088,987.981,498.789,-709.788,988.974,949.86,-662.14,1238.67,940.747,-659.316,1106,1147.79,-682.376,1117.22,1345.17,-806.471,923.914,1465.04,-729.055,1345.58,1451.2,-767.308,1417.77,1120.33,-888.314,838.748,1139.1,-797.327,894.946,912.957,-657.295,1392.7,904.793,-644.685,1129.46,1759.85
138,0,-651.353,955.692,86.0695,-770.57,1018.75,136.719,-711.09,1203.51,135.223,-589.743,1202.23,84.5637,-687.432,1241.61,508.78,-743.602,987.714,498.963,-710.804,988.733,950.02,-661.883,1238.1,940.677,-659.634,1105.33,1147.62,-682.646,1116.73,1344.9,-807.7,924.044,1464.83,-727.099,1345.57,1450.99,-763.293,1417.41,1119.86,-890.865,840.382,1139.52,-799.22,895.535,913.069,-651.709,1390.06,905.369,-643.595,1129.51,1759.51
139,0,-651.404,955.626,86.0483,-770.69,1018.73,136.742,-711.129,1203.36,135.226,-589.751,1202.21,84.5589,-687.399,1241.33,508.756,-744.19,987.476,499.105,-712.052,988.335,950.273,-661.665,1237.59,940.637,-659.844,1104.85,1147.56,-682.601,1116.47,1344.84,-808.883,925.17,1465.63,-725.176,1345.82,1450.89,-759.38,1417.06,1119.45,-891.978,839.997,1140.62,-801.402,896.265,913.533,-646.15,1387.51,906.1,-642.578,1129.47,1759.09
140,0,-651.426,955.591,86.0751,-770.85,1018.7,136.9,-711.144,1203.22,135.215,-589.741,1202.19,84.5614,-687.335,1241.06,508.716,-745.18,987.15,499.392,-713.393,987.977,950.431,-661.438,1237.08,940.557,-660.072,1104.24,1147.38,-682.557,1116.2,1344.75,-809.923,926.107,1465.56,-723.286,1346,1450.75,-755.523,1416.54,1119,-895.156,844.009,1139.52,-803.306,896.787,913.868,-640.471,1384.93,907.239,-641.687,1129.55,1758.77
141,0,-651.457,955.569,86.1331,-770.937,1018.61,136.874,-711.147,1203.15,135.229,-589.769,1202.2,84.5898,-687.353,1240.83,508.665,-745.627,986.961,499.514,-714.375,987.904,950.504,-661.122,1236.68,940.624,-660.307,1103.69,1147.24,-682.493,1115.97,1344.61,-810.744,926.933,1465.23,-721.545,1345.96,1450.52,-751.711,1415.93,1118.55,-897.415,845.439,1139.54,-805.001,897.858,914.2,-635.152,1381.67,907.625,-640.761,1129.8,1758.49
142,0,-651.525,955.539,86.1508,-771.065,1018.51,136.899,-711.172,1203.08,135.252,-589.782,1202.18,84.5739,-687.281,1240.59,508.647,-746.277,986.651,499.604,-715.227,987.771,950.694,-661.025,1236.08,940.442,-660.73,1102.85,1146.89,-682.427,1115.78,1344.51,-811.739,927.841,1465.49,-719.954,1345.98,1450.22,-748.028,1415.46,1118.09,-899.073,845.762,1140.61,-806.265,898.916,914.694,-629.755,1378.59,908.422,-639.865,1129.88,1758.24
143,0,-651.56,955.503,86.1412,-771.173,1018.39,136.805,-711.21,1203.03,135.266,-589.77,1202.18,84.5955,-687.106,1240.34,508.627,-746.958,986.387,499.699,-716.074,987.631,950.831,-660.882,1235.65,940.353,-660.869,1102.46,1146.81,-682.318,1115.6,1344.42,-813.132,928.425,1465.68,-718.349,1346.15,1450.08,-744.422,1414.97,1117.76,-900.859,845.855,1141.42,-807.995,900.095,914.838,-624.518,1375.35,909.481,-638.911,1129.97,1757.88
144,0,-651.606,955.453,86.1896,-771.281,1018.25,136.679,-711.198,1203,135.265,-589.776,1202.18,84.6055,-687,1240.07,508.563,-747.619,986.189,499.771,-717.275,987.407,950.919,-660.736,1235.29,940.288,-661.071,1102.04,1146.66,-682.276,1115.42,1344.27,-813.84,928.49,1466,-716.771,1346.26,1449.84,-740.951,1414.44,1117.33,-902.663,847.892,1141.41,-809.369,901.29,914.881,-619.412,1371.92,910.321,-637.981,1130.1,1757.52
145,0,-651.655,955.406,86.2523,-771.357,1018.09,136.681,-711.216,1202.89,135.276,-589.774,1202.16,84.6035,-686.943,1239.85,508.558,-748.287,986.181,499.818,-718.439,987.368,950.994,-660.617,1234.95,940.233,-661.068,1101.94,1146.69,-682.157,1115.31,1344.16,-814.34,928.391,1466.82,-715.361,1346.3,1449.63,-737.554,1413.84,1116.92,-904.125,849.382,1141.73,-810.554,902.49,915.041,-614.398,1368.64,911.957,-637.164,1130.27,1757.18
146,0,-651.693,955.346,86.2989,-771.417,1017.96,136.712,-711.214,1202.85,135.298,-589.787,1202.17,84.6125,-686.866,1239.63,508.577,-748.93,986.287,499.803,-719.327,987.502,951.187,-660.485,1234.71,940.226,-661.286,1101.52,1146.51,-682.068,1115.25,1344.09,-815.023,929.471,1466.99,-713.997,1346.43,1449.44,-734.353,1413.41,1116.61,-905.737,854.56,1140.15,-811.825,904.006,915.249,-609.546,1365.12,913.135,-636.327,1130.58,1756.92
147,0,-651.713,955.284,86.3511,-771.638,1017.88,136.692,-711.233,1202.74,135.288,-589.787,1202.15,84.5877,-686.821,1239.4,508.589,-749.601,986.386,499.863,-719.964,987.626,951.375,-660.41,1234.46,940.156,-661.46,1101.21,1146.36,-682.055,1115.07,1343.91,-815.532,930.224,1467.27,-712.644,1346.67,1449.3,-731.284,1412.82,1116.25,-906.693,853.827,1141.17,-812.768,905.035,915.509,-605.141,1361.02,914.041,-635.478,1130.82,1756.63
148,0,-651.765,955.281,86.43,-771.682,1017.78,136.735,-711.22,1202.69,135.297,-589.783,1202.14,84.5968,-686.773,1239.28,508.611,-750.305,986.396,499.95,-720.678,987.687,951.486,-660.358,1234.25,940.116,-661.588,1100.89,1146.18,-681.957,1115,1343.77,-815.871,930.618,1467.43,-711.399,1346.66,1448.98,-728.402,1412.21,1115.87,-907.647,855.006,1141.46,-813.965,906.553,915.709,-600.793,1357.51,915.739,-634.404,1131.31,1756.45
149,0,-651.798,955.248,86.4615,-771.789,1017.69,136.733,-711.219,1202.65,135.323,-589.793,1202.14,84.6433,-686.71,1239.1,508.591,-750.972,986.482,500.049,-721.412,987.729,951.572,-660.327,1234.09,940.037,-661.707,1100.67,1146.03,-681.885,1114.96,1343.62,-816.247,931.027,1467.71,-710.127,1346.87,1448.78,-725.706,1411.72,1115.63,-909.044,857.182,1141.42,-814.759,907.915,915.867,-596.701,1353.46,917.068,-633.63,1131.6,1756.12
150,0,-651.882,955.218,86.5205,-771.755,1017.52,136.779,-711.239,1202.58,135.322,-589.793,1202.13,84.6236,-686.661,1238.98,508.574,-751.557,986.446,500.137,-722.29,987.745,951.6,-660.292,1233.98,939.978,-661.84,1100.48,1145.85,-681.794,1115.01,1343.49,-816.681,931.601,1467.95,-709.014,1346.97,1448.59,-723.089,1411.02,1115.22,-909.714,858.037,1141.47,-815.359,909.307,916.003,-592.89,1349.56,918.566,-632.762,1131.91,1755.84
151,0,-651.938,955.2,86.5768,-771.786,1017.41,136.831,-711.259,1202.57,135.34,-589.835,1202.13,84.6463,-686.614,1238.87,508.547,-752.253,986.275,500.242,-723.12,987.933,951.646,-660.271,1233.89,939.925,-661.904,1100.41,1145.74,-681.649,1115.14,1343.34,-817.049,932.265,1468.2,-707.946,1347.17,1448.43,-720.682,1410.44,1114.96,-910.378,858.814,1141.76,-816.13,910.806,916.142,-589.35,1345.63,920.069,-631.913,1132.26,1755.63
152,0,-651.986,955.173,86.6237,-771.846,1017.34,136.86,-711.254,1202.52,135.326,-589.806,1202.11,84.634,-686.578,1238.82,508.536,-752.778,986.33,500.273,-723.876,988.028,951.692,-660.259,1233.9,939.872,-661.952,1100.38,1145.61,-681.507,1115.29,1343.23,-817.263,932.861,1468.26,-706.992,1347.45,1448.38,-718.375,1409.74,1114.79,-911.07,859.882,1142.05,-816.702,912.092,915.944,-586.065,1341.87,921.901,-631.094,1132.55,1755.35
153,0,-652.041,955.151,86.6361,-771.917,1017.34,136.927,-711.262,1202.49,135.297,-589.833,1202.08,84.6115,-686.561,1238.79,508.513,-753.406,986.364,500.326,-724.441,988.209,951.843,-660.277,1233.96,939.822,-662.056,1100.43,1145.42,-681.344,1115.5,1343.09,-817.293,933.472,1468.37,-706.058,1347.78,1448.27,-716.247,1409.13,1114.57,-911.782,861.17,1142.16,-817.314,913.402,915.943,-583.255,1337.97,923.452,-630.133,1132.95,1755.06
154,0,-652.082,955.136,86.6863,-771.938,1017.25,136.939,-711.265,1202.46,135.352,-589.805,1202.1,84.6534,-686.542,1238.82,508.495,-753.948,986.614,500.407,-724.897,988.488,951.864,-660.307,1234.08,939.828,-662.126,1100.61,1145.28,-681.184,1115.8,1342.96,-817.204,933.842,1468.45,-705.338,1347.98,1448.06,-714.277,1408.36,1114.44,-912.264,862.131,1142.46,-817.994,914.8,916.104,-580.793,1333.93,925.044,-629.339,1133.35,1754.84
155,0,-652.094,955.092,86.7297,-771.971,1017.22,136.975,-711.315,1202.46,135.36,-589.84,1202.11,84.6518,-686.573,1238.78,508.289,-754.516,986.818,500.479,-725.357,988.789,951.887,-660.332,1234.24,939.783,-662.24,1100.82,1145.1,-681.005,1116.15,1342.83,-817.044,935.448,1467.69,-704.593,1348.35,1447.95,-712.416,1407.7,1114.38,-912.693,863.131,1142.62,-818.586,915.778,916.274,-578.53,1330.05,926.696,-628.537,1133.81,1754.63
156,0,-652.138,955.084,86.7488,-771.999,1017.15,136.972,-711.323,1202.43,135.349,-589.868,1202.09,84.6658,-686.625,1239.05,508.412,-755.105,987.121,500.498,-725.699,989.062,951.867,-660.364,1234.5,939.777,-662.31,1101.14,1144.91,-680.826,1116.52,1342.67,-816.811,936.046,1467.8,-704.003,1348.66,1447.87,-710.816,1406.91,1114.18,-912.871,863.942,1142.83,-818.916,916.736,916.28,-576.632,1326.16,928.057,-627.808,1134.21,1754.42
157,0,-652.128,955.065,86.7872,-772.011,1017.1,137.003,-711.342,1202.46,135.356,-589.888,1202.08,84.7166,-686.735,1239.26,508.368,-755.561,987.459,500.546,-726.083,989.471,951.869,-660.496,1234.74,939.704,-662.374,1101.51,1144.72,-680.632,1117.02,1342.48,-816.564,936.656,1467.65,-703.466,1349.03,1447.78,-709.312,1406.32,1114.23,-913.034,865.056,1142.82,-819.693,917.769,916.268,-575.031,1322.31,929.484,-627.098,1134.68,1754.24
158,0,-652.172,955.033,86.8251,-772.028,1017.11,137,-711.361,1202.42,135.355,-589.931,1202.11,84.8068,-686.813,1239.45,508.284,-755.97,987.785,500.567,-726.539,989.952,951.814,-660.567,1235.18,939.709,-662.458,1101.92,1144.53,-680.468,1117.51,1342.31,-816.132,936.742,1467.96,-702.949,1349.45,1447.69,-708.028,1405.62,1113.98,-913.205,866.094,1142.7,-820.358,918.753,916.198,-573.811,1318.59,930.78,-626.447,1135.25,1754.11
159,0,-652.196,955.067,86.8944,-772.041,1017.1,137.034,-711.354,1202.46,135.38,-589.937,1202.08,84.8416,-686.955,1239.74,508.234,-756.241,988.089,500.586,-726.802,990.492,951.756,-660.735,1235.61,939.616,-662.52,1102.39,1144.35,-680.279,1118.07,1342.23,-816.297,937.265,1467.11,-702.499,1349.9,1447.6,-706.904,1405,1113.82,-913.231,866.878,1142.71,-820.866,919.541,916.206,-572.853,1314.92,931.887,-625.691,1135.71,1753.88
160,0,-652.215,955.032,86.8615,-772.053,1017.09,137.032,-711.383,1202.47,135.391,-590.003,1202.12,84.908,-687.093,1240,508.161,-756.492,988.396,500.583,-727.077,990.987,951.737,-660.879,1236.16,939.539,-662.532,1102.84,1144.13,-680.125,1118.6,1342.09,-815.987,937.615,1467.17,-702.079,1350.36,1447.48,-705.903,1404.5,1113.82,-913.262,867.502,1142.65,-821.36,919.998,916.06,-572.24,1311.51,933.013,-624.857,1136.17,1753.73
161,0,-652.16,955.066,86.9468,-772.023,1017.08,137.041,-711.392,1202.47,135.395,-590.031,1202.13,84.9499,-687.198,1240.3,508.118,-756.658,988.704,500.578,-727.173,991.544,951.696,-661.041,1236.8,939.561,-662.488,1103.34,1143.94,-680.051,1119.08,1341.86,-815.678,937.481,1467.41,-701.704,1350.78,1447.36,-705.012,1403.93,1113.72,-913.295,868.219,1142.61,-821.718,920.29,915.98,-572.071,1307.91,933.864,-624.274,1136.74,1753.59
162,0,-652.22,955.07,86.8981,-772.039,1017.11,137.073,-711.389,1202.49,135.398,-590.039,1202.13,84.9817,-687.315,1240.6,508.057,-756.804,989.077,500.565,-727.195,992.097,951.696,-661.265,1237.42,939.524,-662.332,1103.96,1143.75,-679.907,1119.64,1341.66,-815.135,938.136,1467.28,-701.296,1351.37,1447.34,-704.286,1403.36,1113.56,-913.236,868.827,1142.58,-822.006,920.546,916.057,-571.976,1304.9,934.95,-623.621,1137.32,1753.48
163,0,-652.181,955.082,86.9134,-772.046,1017.11,137.074,-711.408,1202.5,135.391,-590.049,1202.15,85.0375,-687.46,1240.94,508.012,-756.939,989.468,500.563,-727.105,992.731,951.691,-661.442,1238.17,939.544,-662.099,1104.64,1143.59,-679.719,1120.31,1341.48,-814.328,938.16,1467.9,-701.007,1351.82,1447.2,-703.684,1402.88,1113.46,-913.269,869.441,1142.6,-822.267,920.552,916.03,-572.227,1301.91,935.531,-623.03,1137.93,1753.35
164,0,-652.21,955.052,86.897,-772.042,1017.11,137.048,-711.449,1202.53,135.433,-590.096,1202.13,85.0828,-687.612,1241.29,507.912,-757.071,989.892,500.514,-726.939,993.616,951.62,-661.642,1239.04,939.512,-661.778,1105.38,1143.48,-679.566,1120.87,1341.24,-813.316,938.447,1468.14,-700.774,1352.29,1447.07,-703.234,1402.52,1113.39,-913.151,869.907,1142.76,-822.435,920.665,916.119,-572.678,1299.3,935.97,-622.339,1138.58,1753.2
165,0,-652.196,955.078,86.9058,-772.012,1017.14,137.08,-711.46,1202.55,135.432,-590.147,1202.16,85.1622,-687.649,1241.63,507.836,-757.15,990.244,500.505,-726.71,994.429,951.461,-661.738,1239.84,939.605,-661.418,1106.08,1143.31,-679.376,1121.42,1341,-813.01,939.062,1468.06,-700.596,1352.81,1446.93,-702.937,1402.25,1113.41,-913.1,870.421,1142.85,-822.551,920.719,916.212,-573.537,1296.74,936.443,-621.685,1139.12,1752.99
166,0,-652.193,955.092,86.9223,-772.003,1017.14,137.099,-711.5,1202.59,135.448,-590.183,1202.18,85.2816,-687.757,1242.09,507.786,-757.23,990.609,500.527,-726.528,995.21,951.352,-661.898,1240.56,939.641,-661.094,1106.78,1143.13,-679.177,1122.05,1340.79,-812.097,940.536,1467.72,-700.483,1353.35,1446.84,-702.814,1401.91,1113.33,-912.983,871.059,1142.94,-822.587,920.856,916.279,-574.564,1294.8,936.633,-621.052,1139.74,1752.78
167,0,-652.175,955.052,86.8677,-772.017,1017.15,137.077,-711.524,1202.61,135.457,-590.257,1202.17,85.404,-687.882,1242.58,507.703,-757.317,991.039,500.534,-726.412,995.933,951.359,-662.072,1241.45,939.684,-660.625,1107.51,1142.99,-678.971,1122.6,1340.56,-811.919,939.807,1467.95,-700.433,1353.97,1446.72,-702.916,1401.63,1113.24,-912.786,871.275,1143.05,-822.561,920.996,916.479,-576.323,1292.84,936.185,-620.383,1140.39,1752.6
168,0,-652.167,955.107,86.9156,-772.009,1017.21,137.068,-711.545,1202.7,135.548,-590.313,1202.2,85.5313,-688.038,1243.16,507.691,-757.303,991.522,500.537,-726.277,996.822,951.297,-662.296,1242.36,939.694,-660.242,1108.22,1142.88,-678.707,1123.38,1340.46,-811.227,940.276,1467.91,-700.453,1354.74,1446.58,-703.258,1401.38,1113.1,-912.633,871.065,1143.4,-822.457,921.208,916.585,-577.604,1291.59,936.039,-619.689,1141.1,1752.47
169,0,-652.138,955.109,86.8826,-771.958,1017.22,137.075,-711.71,1202.7,135.571,-590.364,1202.19,85.6341,-688.125,1243.66,507.625,-757.211,992.076,500.582,-726.107,997.696,951.386,-662.583,1243.46,939.661,-659.802,1108.95,1142.73,-678.273,1124.44,1340.38,-810.34,942.016,1467.56,-700.528,1355.62,1446.49,-703.859,1401.22,1112.95,-912.22,870.837,1143.9,-822.258,921.409,916.712,-579.118,1291.03,935.599,-619.017,1141.72,1752.32
170,0,-652.108,955.119,86.8283,-771.984,1017.34,137.066,-711.743,1202.72,135.583,-590.409,1202.2,85.6977,-688.06,1244.15,507.649,-757.415,992.579,500.612,-725.941,998.532,951.43,-662.864,1244.49,939.676,-659.315,1109.73,1142.56,-677.945,1125.3,1340.17,-809.138,941.978,1468.13,-700.678,1356.38,1446.28,-704.759,1401.07,1112.65,-911.743,870.668,1144.24,-822.121,921.59,916.786,-580.022,1291.42,935.548,-618.244,1142.38,1752.15
171,0,-652.094,955.195,86.8131,-771.937,1017.38,137.08,-711.758,1202.74,135.587,-590.457,1202.21,85.7351,-687.967,1244.63,507.68,-756.936,993.219,500.417,-725.87,999.271,951.421,-663.259,1245.67,939.697,-658.581,1110.76,1142.54,-677.539,1126.27,1340.09,-808.2,943.745,1467.43,-700.896,1357.17,1446.01,-705.836,1401.01,1112.4,-911.219,870.072,1144.74,-821.868,921.783,917.016,-581.914,1291.8,934.391,-617.442,1143.14,1751.94
172,0,-652.061,955.157,86.7266,-771.952,1017.45,137.052,-711.762,1202.78,135.602,-590.468,1202.21,85.7717,-687.825,1244.95,507.609,-756.623,993.87,500.425,-725.629,1000.25,951.34,-663.821,1246.86,939.737,-658.08,1111.58,1142.44,-677.198,1127.2,1339.97,-807.586,943.989,1467.05,-701.171,1358.07,1445.84,-707.133,1401.03,1112.08,-910.605,869.806,1145.07,-821.57,922.125,917.129,-583.212,1293,933.605,-616.651,1143.9,1751.74
173,0,-652.007,955.177,86.7034,-771.914,1017.52,137.023,-711.769,1202.74,135.575,-590.466,1202.25,85.8737,-687.654,1245.39,507.691,-756.399,994.387,500.369,-725.356,1001.3,951.247,-664.363,1247.97,939.742,-657.662,1112.59,1142.31,-676.923,1128,1339.76,-806.622,944.715,1467.09,-701.494,1359.15,1445.77,-708.599,1401.33,1111.91,-909.832,870.268,1145.05,-821.053,922.436,917.281,-585.109,1294.24,931.893,-615.768,1144.74,1751.57
174,0,-651.98,955.212,86.6871,-771.894,1017.58,136.995,-711.75,1202.77,135.577,-590.506,1202.23,85.8715,-687.403,1245.75,507.761,-756.096,994.873,500.289,-724.994,1002.36,951.313,-664.857,1249.24,939.769,-657.422,1113.58,1142.17,-676.715,1128.77,1339.53,-805.396,945.542,1467.35,-701.835,1360.22,1445.63,-710.218,1401.58,1111.62,-908.915,870.877,1145.33,-820.475,922.708,917.477,-587.376,1296.19,930.19,-614.909,1145.51,1751.36
175,0,-651.981,955.238,86.6818,-771.879,1017.63,136.98,-711.797,1202.76,135.552,-590.52,1202.22,85.9286,-687.138,1246.12,507.866,-755.876,995.336,500.255,-724.729,1003.4,951.434,-665.261,1250.54,940.018,-657.271,1114.55,1142.03,-676.345,1129.9,1339.42,-804.105,946.472,1467.3,-702.119,1361.31,1445.52,-711.978,1401.91,1111.35,-908.118,872.59,1145.02,-819.793,923.26,917.644,-589.246,1298.68,928.801,-613.71,1146.35,1751.18
176,0,-651.954,955.226,86.6293,-771.914,1017.7,136.966,-711.654,1202.76,135.542,-590.56,1202.23,85.9641,-686.811,1246.5,508.008,-755.985,995.684,500.292,-724.397,1004.46,951.469,-665.786,1251.63,940.006,-657.225,1115.69,1141.77,-675.758,1131.33,1339.44,-803.156,946.753,1467.14,-702.422,1362.26,1445.36,-713.937,1402.51,1111.07,-907.332,872.781,1145.34,-819.28,924.574,917.517,-590.587,1302.31,927.994,-612.703,1147.02,1750.86
177,0,-651.898,955.242,86.6147,-771.875,1017.76,136.971,-711.78,1202.77,135.561,-590.567,1202.21,85.9838,-686.481,1246.94,508.139,-755.539,996.201,500.312,-724.144,1005.49,951.461,-666.138,1252.93,940.187,-657.229,1116.81,1141.51,-675.365,1132.37,1339.19,-801.992,947.065,1467.32,-702.714,1363.4,1445.3,-716.083,1403.1,1110.85,-906.384,871.911,1145.82,-818.36,924.422,917.944,-593.588,1305.03,925.381,-611.646,1147.88,1750.68
178,0,-651.888,955.259,86.6189,-771.863,1017.87,136.958,-711.678,1202.76,135.513,-590.58,1202.22,86.0231,-686.039,1247.27,508.204,-755.345,996.569,500.333,-723.92,1006.4,951.489,-666.504,1254.22,940.474,-657.128,1118.23,1141.35,-674.812,1133.82,1339.3,-800.751,949.42,1467.49,-702.972,1364.46,1445.28,-718.249,1404.1,1110.71,-902.453,865.818,1148.59,-817.511,925.012,918.065,-595.766,1308.54,923.466,-610.587,1148.65,1750.34
179,0,-651.867,955.299,86.5994,-771.852,1017.91,136.973,-711.656,1202.78,135.525,-590.589,1202.2,86.0498,-685.648,1247.45,508.204,-755.107,996.957,500.463,-723.732,1007.42,951.377,-666.973,1255.47,940.706,-657.099,1119.56,1141.11,-674.094,1135.13,1339.36,-798.515,945.977,1468.71,-703.149,1365.6,1445.31,-720.36,1405.3,1110.53,-903.898,872.477,1146.55,-816.763,925.755,918.288,-598.898,1312.14,921.191,-609.347,1149.67,1750.08
180,0,-651.855,955.316,86.5781,-771.76,1017.91,136.969,-711.768,1202.79,135.549,-590.621,1202.21,86.1113,-685.036,1247.7,508.236,-754.9,997.316,500.576,-723.589,1008.62,951.372,-667.353,1256.75,940.882,-657.004,1120.87,1140.87,-674.065,1135.98,1338.79,-797.128,947.465,1468.37,-703.385,1366.56,1445.16,-722.298,1407.01,1110.66,-902.79,874.383,1146.22,-815.981,926.448,918.552,-601.604,1316.63,919.56,-608.118,1150.8,1749.82
