Trajectories
100
,,Saut:11,,,Saut:12,,,Saut:21,,,Saut:22,,,Saut:32,,,Saut:42,,,Saut:52,,,Saut:62,,,Saut:72,,,Saut:81,,,Saut:112,,,Saut:131,,,Saut:151,,,Saut:161,,,Saut:171,,,Saut:181,,,Saut:192,,,Saut:212,,,Saut:231,,,Saut:242,,,Saut:251,,,Saut:271,,,Saut:282,,,Saut:291,,,Saut:312,,,Saut:332,,,Saut:352,,,Saut:361,,,Saut:371,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
43,0,55.2847,280.259,53.6578,237.598,196.044,68.9896,-213.344,-102.467,65.1159,-30.8891,-149.568,58.6245,67.616,276.244,195.774,-197.349,-123.507,197.578,71.6579,243.272,556.316,-57.4734,-133.956,521.839,77.7412,44.1863,924.321,-189.003,41.2554,952.59,-52.5541,222.474,1037.23,-67.7777,-134.568,1046.26,-16.3728,-183.883,1412.05,91.0314,-107.649,1427.01,-116.806,205.919,1451.47,9.57878,215.903,1417.21,55.4259,-270.882,1160.45,-206.014,310.055,1173.75,193.988,-225.666,928.195,318.523,-265.383,911.676,247.586,-303.059,870.481,-181.258,379.084,930.067,-250.728,471.082,883.211,-158.094,504.726,905.416,-99.3859,2.5286,1470.04,71.6645,60.5495,1391.33,-3.5601,14.7564,1693.43,127.362,2.03677,1626.69,63.8312,154.236,1614.57
44,0,50.4567,279.694,54.3979,237.162,205.543,70.9127,-213.705,-102.501,64.0762,-30.9452,-149.447,58.6655,63.4466,275.037,194.434,-198.265,-123.466,195.894,65.8806,243.119,555.716,-60.9473,-134.233,520.917,74.2475,42.585,923.951,-192.373,38.6181,952.746,-56.3324,220.233,1037.38,-70.1972,-136.687,1045.71,-18.069,-187.163,1410.59,88.6814,-110.801,1426.42,-120.07,201.621,1452.33,6.09672,212.832,1417.86,55.5599,-272.242,1158.53,-212.876,302.58,1175.4,196.356,-223.893,928.363,321.429,-262.385,912.866,251.362,-300.334,870.519,-194.713,369.123,930.561,-266.923,459.13,884.231,-174.666,494.856,903.939,-101.982,-1.67503,1469.8,68.574,57.4079,1391.16,-6.23478,10.1955,1692.92,124.665,-2.04967,1626.47,60.8314,150.079,1614.56
45,0,45.044,278.936,54.4625,236.061,217.925,73.4932,-213.991,-102.537,62.7326,-30.9945,-149.289,58.7968,57.8784,275.693,194.455,-198.986,-123.755,194.759,60.3747,243.21,555.476,-64.3384,-134.689,520.539,71.2274,41.1466,923.461,-195.62,36.188,952.835,-60.1423,218.135,1037.48,-72.6205,-138.737,1045.22,-20.0494,-190.683,1409.44,85.5117,-111.685,1424.46,-123.299,197.501,1453.04,2.84869,209.767,1418.39,55.0939,-273.723,1156.84,-219.667,295.085,1176.82,198.46,-222.2,928.414,323.808,-259.563,914.143,254.488,-297.652,870.558,-207.754,358.908,931.012,-282.741,446.756,885.177,-190.759,484.703,902.476,-104.496,-5.57562,1469.49,66.0806,54.6044,1391.14,-9.07078,4.82157,1692.45,121.77,-7.01377,1626.18,58.0886,145.248,1615.15
46,0,39.4505,278.259,55.1718,234.22,231.272,76.1737,-214.167,-102.608,61.6637,-31.0162,-149.152,58.9085,52.1638,276.533,194.742,-199.932,-124.142,193.295,55.0814,243.656,555.236,-67.6908,-135.301,520.384,67.6705,39.6803,922.755,-198.783,33.9624,953.001,-63.9282,216.226,1037.44,-75.1142,-140.62,1044.58,-22.1113,-193.856,1408.07,84.1142,-117.049,1424.81,-126.302,193.518,1453.86,-0.106916,206.687,1418.77,54.1228,-274.787,1154.89,-225.475,288.287,1178.26,199.832,-220.19,928.813,325.787,-256.812,915.669,257.168,-294.753,870.78,-219.926,348.278,931.503,-298.047,433.418,885.889,-206.321,473.987,900.744,-106.949,-9.27655,1469.22,63.5056,51.5759,1390.96,-11.9673,-0.155743,1691.75,119.264,-11.2084,1625.95,55.0622,141.014,1615.74
47,0,33.8134,277.636,55.4316,231.287,244.788,79.4759,-214.446,-102.666,61.0421,-31.0958,-149.014,59.0198,46.205,277.21,194.12,-200.654,-124.375,192.505,49.9108,244.471,555.248,-70.8217,-135.049,519.677,64.8436,38.5826,922.39,-201.977,31.6991,953.132,-67.6376,214.214,1037.29,-77.5593,-142.602,1044.06,-24.385,-196.844,1407.02,81.78,-120.126,1424.1,-129.193,190.163,1454.58,-2.9935,204.046,1419.17,52.6438,-276.1,1153.12,-231.218,281.461,1179.56,200.741,-218.468,929.127,327.116,-254.004,917.183,259.396,-292.007,871.065,-232.239,337.432,932.016,-312.743,420.336,887.099,-221.613,462.847,898.861,-109.471,-12.5954,1468.96,60.7734,48.6523,1390.89,-14.474,-4.36814,1691.41,116.865,-15.0661,1625.73,52.4886,137.211,1616.04
48,0,28.3251,276.757,55.0899,227.241,258.31,82.807,-214.607,-102.642,60.6342,-31.1356,-148.905,59.1112,40.0345,278.142,193.723,-201.445,-124.364,191.163,45.0366,245.756,555.603,-73.6771,-135.623,519.889,61.8336,37.721,922.064,-205.034,29.6619,953.308,-71.4693,212.708,1037.46,-80.0794,-144.519,1043.58,-26.8327,-199.77,1405.95,78.973,-122.481,1422.97,-131.863,187.058,1455.3,-5.78389,201.462,1419.43,50.6678,-277.061,1151.12,-236.417,274.911,1180.94,201.08,-216.319,929.534,327.867,-251.474,918.935,260.955,-289.062,871.389,-244.43,326.454,932.814,-326.804,407.572,888.913,-236.221,451.374,897.103,-111.998,-15.7082,1468.9,58.1411,46.0125,1390.83,-17.2384,-9.48546,1690.96,114.417,-19.2038,1625.46,49.5295,133.059,1617.2
49,0,22.7335,276.113,55.319,222.408,271.395,86.317,-214.749,-102.686,60.4257,-31.1292,-148.807,59.1796,33.3804,280.009,193.866,-202.011,-124.56,190.381,40.1533,247.267,555.925,-76.5746,-136.445,520.178,58.9829,36.8323,921.993,-207.612,27.661,953.483,-75.2339,211.072,1037.47,-82.3938,-145.846,1043.15,-29.3704,-202.381,1404.92,76.5936,-124.86,1422.12,-134.36,184.183,1456.17,-8.27375,198.786,1419.79,48.1959,-278.161,1149.45,-241.207,268.92,1182.01,200.943,-214.545,929.945,328.098,-248.909,920.579,261.839,-286.513,871.94,-255.181,315.307,933.457,-340.188,393.657,889.89,-250.13,439.675,895.276,-114.421,-18.6134,1469.06,55.6021,43.3573,1390.8,-19.8107,-13.7892,1690.83,111.996,-22.7203,1625.65,46.6888,129.496,1618.32
50,0,17.6291,275.057,54.8749,216.938,284.103,89.7384,-214.912,-102.841,60.1266,-31.1668,-148.741,59.2022,27.1105,280.761,193.735,-202.544,-124.971,189.61,35.3135,248.902,556.458,-79.0745,-136.717,520.241,55.8676,36.0896,922.005,-210.944,25.5834,954.026,-79.0554,209.79,1038.01,-84.3508,-147.29,1043.24,-32.0823,-204.935,1404.25,73.8156,-127.669,1421.59,-136.906,181.366,1457.05,-10.747,196.501,1420.1,45.2872,-279.08,1147.81,-245.314,263.044,1183.33,200.288,-212.726,930.487,327.615,-246.544,922.361,262.165,-283.72,872.435,-265.814,304.022,934.545,-352.761,380.231,891.813,-263.257,427.696,893.577,-116.798,-21.3127,1469.44,53.1451,40.8921,1390.83,-22.0542,-18.527,1691.24,109.894,-26.6055,1625.78,44.2122,125.625,1619.99
51,0,12.1598,273.497,54.3275,210.048,296.542,92.125,-215.001,-102.977,60.0065,-31.1936,-148.719,59.2375,20.4313,281.528,193.756,-202.94,-125.464,189.208,30.1118,250.99,557.502,-81.5685,-137.886,520.839,53.0424,35.7332,922.531,-214.012,23.3779,954.693,-82.9462,208.666,1038.9,-86.4703,-148.881,1043.56,-34.7578,-207.237,1403.73,71.4892,-130.016,1421.06,-139.352,179.071,1458.09,-13.2534,194.411,1420.72,41.9514,-279.888,1146.24,-249.042,257.538,1184.7,198.805,-210.841,931.111,326.509,-244.314,924.241,261.659,-281.166,873.054,-275.894,292.539,935.802,-364.461,366.845,893.779,-275.482,415.318,891.812,-119.292,-24.1087,1469.92,50.6577,38.7239,1391.06,-24.8634,-21.2159,1690.69,107.301,-29.7747,1626.01,41.9794,122.681,1619.73
52,0,7.24985,273.098,55.0364,202.092,308.507,94.1074,-215.106,-103.207,59.9307,-31.1705,-148.709,59.2573,13.2188,282.281,193.678,-203.234,-126.108,188.948,24.8657,252.825,558.613,-83.9452,-138.431,521.095,50.2568,35.6043,923.218,-216.707,21.4059,955.468,-86.7597,207.391,1039.79,-88.1117,-149.667,1043.83,-37.5656,-209.278,1403.51,69.0414,-132.472,1420.86,-141.736,177.097,1459.29,-15.6878,192.283,1421.45,38.2242,-280.641,1145.11,-252.328,252.484,1186.03,196.718,-208.887,931.767,324.709,-242.234,925.814,260.527,-278.724,873.729,-285.366,281.268,937.351,-375.136,353.971,896.161,-286.745,403.009,890.212,-121.491,-25.8201,1470.51,48.2183,36.7679,1391.45,-27.1552,-24.1886,1690.87,104.708,-32.5026,1626.11,39.7447,120.083,1620.73
